time,Temp1,Temp2,Temp3,dates
0,16.867256419410438,16.72727427316867,16.587412606754818,2022-04-21 14:10:00
600,16.87397737182038,16.728271930505628,16.58778473612843,2022-04-21 14:20:00
1200,16.88976366141014,16.730312620887428,16.588658731498004,2022-04-21 14:30:00
1800,16.916081613426613,16.733413412467527,16.590005879475623,2022-04-21 14:40:00
2400,16.953184325855847,16.737746953027834,16.591766849136725,2022-04-21 14:50:00
3000,17.00054166589149,16.74358443670054,16.59390088510005,2022-04-21 15:00:00
3600,17.057263076677625,16.751225170058984,16.596396008827828,2022-04-21 15:10:00
4200,17.122351514428935,16.76094975890365,16.59926692514789,2022-04-21 15:20:00
4800,17.19482742906069,16.7729951446907,16.60254986393723,2022-04-21 15:30:00
5400,17.273779099676524,16.78754474230012,16.606297005489083,2022-04-21 15:40:00
6000,17.358376667832676,16.804727729907317,16.610571263770613,2022-04-21 15:50:00
6600,17.447870129796954,16.824623207815787,16.615441700746647,2022-04-21 16:00:00
7200,17.541581256089177,16.847266467212975,16.620979677781136,2022-04-21 16:10:00
7800,17.63889400558467,16.87265575368182,16.62725576073119,2022-04-21 16:20:00
8400,17.73924535919897,16.900758676230986,16.634337337622142,2022-04-21 16:30:00
9000,17.842117266516112,16.931517883004933,16.642286868933475,2022-04-21 16:40:00
9600,17.947029852727912,16.964855891720656,16.6511606749656,2022-04-21 16:50:00
10200,18.053535809753573,17.00067910116859,16.661008160432193,2022-04-21 17:00:00
10800,18.161215818929872,17.038881072481768,16.67187138304329,2022-04-21 17:10:00
11400,18.26967484016017,17.07934518929749,16.683784884195468,2022-04-21 17:20:00
12000,18.378539115465117,17.12194680489017,16.69677571315581,2022-04-21 17:30:00
12600,18.4874537561434,17.16655497356753,16.710863589214455,2022-04-21 17:40:00
13200,18.59608080472371,17.213033849467102,16.726061158808662,2022-04-21 17:50:00
13800,18.704097682687955,17.26124382164381,16.742374313262424,2022-04-21 18:00:00
14400,18.811195951802198,17.311042441307688,16.759802543607563,2022-04-21 18:10:00
15000,18.917080330647075,17.3622851859701,16.778339313635126,2022-04-21 18:20:00
15600,19.02146791914724,17.4148260960119,16.797972438524372,2022-04-21 18:30:00
16200,19.124087592839025,17.468518311678743,16.8186844602078,2022-04-21 18:40:00
16800,19.224679535784983,17.5232145324778,16.8404530136323,2022-04-21 18:50:00
17400,19.322994886753293,17.578767416163885,16.863251180279946,2022-04-21 19:00:00
18000,19.418795477850665,17.63502993072194,16.887047826917243,2022-04-21 19:10:00
18600,19.51185364847007,17.691855669763154,16.91180792866727,2022-04-21 19:20:00
19200,19.601952120351093,17.749099139414326,16.937492876279283,2022-04-21 19:30:00
19800,19.68888392194181,17.80661602293759,16.964060767989974,2022-04-21 19:40:00
20400,19.772452352178593,17.864263427873265,16.99146668670131,2022-04-21 19:50:00
21000,19.852470975373517,17.921900119363503,17.019662963391088,2022-04-21 20:00:00
21600,19.92876364019049,17.979386742433004,17.04859942776552,2022-04-21 20:10:00
22200,20.001164516756567,18.03658603528886,17.0782236471927,2022-04-21 20:20:00
22800,20.069518146825008,18.09336303517297,17.10848115493442,2022-04-21 20:30:00
23400,20.13367950264656,18.149585277858066,17.139315668644645,2022-04-21 20:40:00
24000,20.19351405081368,18.205122991539817,17.17066930003562,2022-04-21 20:50:00
24600,20.248897817856363,18.259849285626373,17.20248275653582,2022-04-21 21:00:00
25200,20.299717454809073,18.313640334706335,17.23469553567707,2022-04-21 21:10:00
25800,20.34587029833681,18.36637555782313,17.267246112869532,2022-04-21 21:20:00
26400,20.387264426323156,18.417937793061704,17.30007212313862,2022-04-21 21:30:00
27000,20.423818706106157,18.468213467353305,17.333110537323456,2022-04-21 21:40:00
27600,20.455462833781137,18.517092761334656,17.36629783316042,2022-04-21 21:50:00
28200,20.48213736319542,18.564469769044116,17.399570161611738,2022-04-21 22:00:00
28800,20.503793723452368,18.61024265219952,17.4328635087358,2022-04-21 22:10:00
29400,20.520394223892747,18.654313788772505,17.46611385334025,2022-04-21 22:20:00
30000,20.531912045676673,18.69658991556035,17.4992573206087,2022-04-21 22:30:00
30600,20.53833121921304,18.736982264441057,17.53223033184741,2022-04-21 22:40:00
31200,20.53964658680133,18.775406692000917,17.564969750457976,2022-04-21 22:50:00
31800,20.535863749959585,18.811783802218937,17.597413024204798,2022-04-21 23:00:00
32400,20.526999001009727,18.846039061899354,17.629498323819252,2022-04-21 23:10:00
33000,20.51307923857544,18.878102908555626,17.661164677949486,2022-04-21 23:20:00
33600,20.494141866739664,18.907910850455544,17.69235210444652,2022-04-21 23:30:00
34200,20.47023467767672,18.935403558554864,17.72300173795297,2022-04-21 23:40:00
34800,20.44141571765218,18.96052695005979,17.753055953745324,2022-04-21 23:50:00
35400,20.407753136346987,18.983232263377356,17.78245848776567,2022-04-22 00:00:00
36000,20.36932501952788,19.003476124228836,17.811154552767,2022-04-22 00:10:00
36600,20.32621920514046,19.02122060272423,17.839090950484906,2022-04-22 00:20:00
37200,20.278533082967726,19.036433261209005,17.866216179743205,2022-04-22 00:30:00
37800,20.22637337803644,19.04908719272322,17.89248054039246,2022-04-22 00:40:00
38400,20.169855918015426,19.059161049929223,17.91783623297813,2022-04-22 00:50:00
39000,20.109105384891887,19.06663906438366,17.94223745403082,2022-04-22 01:00:00
39600,20.0442550512598,19.071511056057386,17.965640486872182,2022-04-22 01:10:00
40200,19.975446501594607,19.073772433023855,17.988003787826617,2022-04-22 01:20:00
40800,19.902829338933376,19.073424181260336,18.009288067733873,2022-04-22 01:30:00
